,"konjugation"
"abdico","1."
"abduco","3."
"abeo","uregelmæssig"
"abicio","3. (-io)"
"abluo","3."
"abnego","1."
"aboleo","2."
"abominor","1."
"abscido","3."
"abscondo","3."
"absolvo","3."
"absorbeo","2."
"abstergeo","2."
"abstergo","3."
"abstineo","2."
"abstraho","3."
"absum","uregelmæssig"
"abundo","1."
"abutor","3."
"accedo","3."
"accendo","3."
"accido","3."
"accingo","3."
"accio","4."
"accipio","3. (-io)"
"acclamo","1."
"accumbo","3."
"accurro","3."
"accuso","1."
"acquiesco","3."
"acquiro","3."
"adaperio","4."
"adaquo","1."
"adaugeo","2."
"addo","3."
"adduco","3."
"adeo","uregelmæssig"
"adhaereo","2."
"adhibeo","2."
"adiaceo","2."
"adicio","3. (-io)"
"adimpleo","2."
"adiudico","3."
"adiungo","3."
"adiuro","1."
"adiuvo","1."
"administro","1."
"admiror","1."
"admitto","3."
"admoneo","2."
"adnavigo","1."
"adnumero","1."
"adnuntio","1."
"adnuo","3."
"adoro","1."
"adquiesco","3."
"adsum","uregelmæssig"
"adultero","1."
"advenio","4."
"adversor","1."
"advesperasco","3."
"advoco","1."
"advolvo","3."
"aedifico","1."
"aemulor","1."
"aestimo","1."
"aestuo","1."
"affero","3."
"afficio","3. (-io)"
"affigo","3."
"affirmo","1."
"affligo","3."
"agito","3."
"agnosco","3."
"ago","3."
"aio","3. (-io)"
"alieno","1."
"allevio","1."
"allevo","1."
"allido","3."
"alligo","1."
"alloquor","3."
"alo","3."
"altercor","1."
"amarico","1."
"ambigo","3."
"ambulo","1."
"amicio","4."
"amo","1."
"amoveo","2."
"amplector","3."
"amputo","1."
"anathematizo","1."
"angario","1."
"angustio","1."
"antecedo","3."
"aperio","4."
"aporior","1."
"appareo","2."
"appello","1."
"applico","1."
"appono","3."
"appr(eh)endo","3."
"appretio","4."
"approbo","1."
"appropinquo","1."
"appropio","1."
"apto","1."
"arbitror","1."
"arcesso","3."
"ardeo","2."
"arefacio","3. (-io)"
"areo","2."
"aresco","3."
"arguo","3."
"armo","1."
"aro","1."
"arripio","3. (-io)"
"ascendo","3."
"aspergo","3."
"aspernor","1."
"aspicio","3. (-io)"
"aspiro","1."
"assequor","3."
"assideo","2."
"assigno","1."
"assimulo","1."
"assisto","3."
"assumo","3."
"assuo","3."
"asto","1."
"astringo","3."
"attendo","3."
"attineo","2."
"attrecto","1."
"audeo","2."
"audio","4."
"aufero","3."
"augeo","2."
"ausculto","1."
"avello","3."
"aveo","2."
"aversor","1."
"averto","3."
"baiulo","1."
"baptizo","1."
"benedico","3."
"benefacio","3. (-io)"
"beneplaceo","2."
"bibo","3."
"blasphemo","1."
"brevio","1."
"cado","3."
"caeco","1."
"caedo","3."
"calcio","1."
"calcitro","1."
"calco","1."
"calefacio","3. (-io)"
"calefio","3. (-io)"
"calumnio","1."
"cano","3."
"canto","1."
"capio","3. (-io)"
"captivo","1."
"castigo","1."
"castro","1."
"catecizo","1."
"causor","1."
"caveo","2."
"ceno","1."
"cerno","3."
"certo","1."
"cesso","1."
"cibo","1."
"cingo","3."
"circumcido","3."
"circumdo","1."
"circumduco","3."
"circumeo","2."
"circumfero","3."
"circumfulgeo","2."
"circumlego","3."
"circumpono","3."
"circumsedeo","2."
"circumspicio","3. (-io)"
"circumsto","1."
"circumvenio","4."
"citharizo","1."
"cito","1."
"clamo","1."
"claresco","3."
"clarifico","1."
"claudo","3."
"coacervo","1."
"coaedifico","1."
"coagito","1."
"coangusto","1."
"coarto","1."
"coepi","uregelmæssig"
"cogito","1."
"cognomino","1."
"cognosco","3."
"cogo","3."
"coinquino","1."
"colaphizo","1."
"collaboro","1."
"collaudo","1."
"colligo","3."
"colloquor","3."
"colo","3."
"comburo","3."
"comedo","3."
"comitor","1."
"commanduco","3."
"commemoro","1."
"commendo","1."
"comminor","1."
"comminuo","3."
"commisceo","2."
"committo","3."
"commodo","1."
"commonefacio","3. (-io)"
"commoneo","2."
"commorior","3. (-io)"
"commoror","1."
"commoveo","2."
"communico","1."
"commuto","1."
"comparo","1."
"compatior","3. (-io)"
"compello","1."
"comperio","4."
"compingo","3."
"complaceo","2."
"complanto","1."
"complector","3."
"compleo","2."
"complexo","3."
"compono","3."
"compr(eh)endo","3."
"comprimo","3."
"comprobo","1."
"compungo","3."
"computo","1."
"concedo","3."
"concido I","3."
"concido II","3."
"concipio","3. (-io)"
"concito","1."
"concludo","3."
"concordo","1."
"concremo","1."
"conculco","1."
"concupio","3. (-io)"
"concupisco","3."
"concurro","3."
"concutio","3. (-io)"
"condelector","1."
"condemno","1."
"condio","4."
"condo","3."
"conduco","3."
"conecto","3."
"confero","3."
"confido","3."
"configo","3."
"configuro","1."
"confirmo","1."
"confiteor","2."
"conformo","1."
"conforto","1."
"confrico","1."
"confringo","3."
"confugio","3. (-io)"
"confundo","3."
"congaudeo","2."
"congero","3."
"conglorifico","1."
"congratulor","1."
"congrego","1."
"coniungo","3."
"connumero","1."
"conor","1."
"conquasso","1."
"conquiro","3."
"conrumpo","3."
"conscindo","3."
"consedo","1."
"consentio","4."
"consepelio","4."
"consequor","3."
"conservo","1."
"considero","1."
"consolido","1."
"consolor","1."
"conspicio","3. (-io)"
"conspiro","1."
"conspuo","3."
"consterno","1."
"constituo","3."
"consto","1."
"construo","3."
"consuesco","3."
"consummo","1."
"consumo","3."
"consurgo","3."
"contamino","1."
"contemno","3."
"contemplo","1."
"contendo","3."
"contenebro","1."
"contero","3."
"conterreo","2."
"contestor","1."
"contexo","3."
"contineo","2."
"contingo","3."
"contionor","1."
"contradico","3."
"contrecto","1."
"contristo","1."
"contristor","1."
"conturbo","1."
"convalesco","3."
"convenio","4."
"conversor","1."
"converto","3."
"convescor","3."
"convicior","1."
"convinco","3."
"convivifico","1."
"convivo","3."
"convivor","1."
"convoco","1."
"cooperio","4."
"cooperor","1."
"corresuscito","1."
"corrigo","3."
"corripio","3. (-io)"
"corroboro","1."
"corrumpo","3."
"corusco","3."
"coutor","3."
"credo","3."
"creo","1."
"crepo","1."
"cresco","3."
"cribro","1."
"crucifigo","3."
"crucio","1."
"cupio","3. (-io)"
"curo","1."
"curro","3."
"curvo","1."
"custodio","4."
"damno","1."
"dealbo","1."
"deauro","1."
"debeo","2."
"decalvo","1."
"decerno","3."
"decerto","1."
"decet","2."
"decido","3."
"decimo","1."
"decipio","3. (-io)"
"declaro","1."
"declino","1."
"decollo","1."
"decumbo","3."
"decurro","3."
"dedo","3."
"deduco","3."
"defendo","3."
"defero","3."
"deficio","3. (-io)"
"definio","4."
"deformo","1."
"defraudo","1."
"defungor","3."
"deicio","3. (-io)"
"deleo","2."
"delibo","1."
"delinquo","3."
"deludo","3."
"demento","1."
"demergo","3."
"deminuo","3."
"demolior","4."
"demonstro","1."
"demoror","1."
"denego","1."
"denuntio","1."
"depono","3."
"deprecor","1."
"depr(eh)endo","3."
"deputo","1."
"derelinquo","3."
"derideo","2."
"descendo","3."
"describo","3."
"desero","3."
"deservio","4."
"desidero","1."
"designo","1."
"desino","3."
"desolo","1."
"despero","1."
"despicio","3. (-io)"
"despolio","1."
"despondeo","2."
"desponsor","1."
"despumo","1."
"destino","1."
"destituo","3."
"destruo","3."
"desum","uregelmæssig"
"detestor","1."
"detineo","2."
"detraho","3."
"deturpo","1."
"devasto","1."
"devenio","4."
"deverto","3."
"devito","1."
"devoro","1."
"devoveo","2."
"dico","3."
"diffamo","1."
"differo","3."
"diffundo","3."
"dignor","1."
"diiudico","3."
"dilanio","1."
"dilato","1."
"diligo","3."
"dimitto","3."
"dinumero","1."
"dirigo","3."
"diripio","3. (-io)"
"dirumpo","3."
"diruo","3."
"discedo","3."
"discepto","1."
"discerno","3."
"discerpo","3."
"disco","3."
"discumbo","3."
"disperdo","3."
"dispergo","3."
"dispertior","4."
"dispicio","3. (-io)"
"dispono","3."
"disputo","1."
"disseco","1."
"dissemino","1."
"dissero","3."
"dissipo","1."
"dissolvo","3."
"distribuo","3."
"divido","3."
"divino","1."
"divulgo","1."
"do","1."
"doceo","2."
"doleo","2."
"dominor","1."
"domo","1."
"dono","1."
"dormio","4."
"dormito","1."
"dubito","1."
"duco","3."
"duplico","1."
"edissero","3."
"edo","3."
"edoceo","2."
"educo I","3."
"educo II","1."
"effero","3."
"efficio","3. (-io)"
"effodio","3. (-io)"
"effugio","3. (-io)"
"effundo","3."
"egeo","2."
"egredior","3. (-io)"
"eicio","3. (-io)"
"eiulo","1."
"elevo","1."
"elido","3."
"eligo","3."
"eloquor","3."
"emendo","1."
"emineo","2."
"emitto","3."
"emo","3."
"emorior","3. (-io)"
"enarro","1."
"enato","1."
"enavigo","1."
"enutrio","4."
"eo","uregelmæssig"
"epulor","1."
"eradico","3."
"erigo","3."
"eripio","3. (-io)"
"erogo","1."
"erro","1."
"erubesco","3."
"eructo","1."
"erudio","4."
"erumpo","3."
"eruo","3."
"esurio","4."
"evacuo","1."
"evado","3."
"evagino","1."
"evanesco","3."
"evangelizo","1."
"evenio","4."
"everro","3."
"everto","3."
"evigilo","1."
"evomo","3."
"exaestuo","1."
"exalto","1."
"examino","1."
"exardesco","3."
"exaresco","3."
"exaudio","4."
"excaeco","1."
"excaedo","3."
"excedo","3."
"excello","3."
"excido I","3."
"excido II","3."
"excipio","3. (-io)"
"excito","1."
"exclamo","1."
"excludo","3."
"excolo","3."
"excuso","1."
"excutio","3. (-io)"
"exeo","uregelmæssig"
"exerceo","2."
"exhibeo","2."
"exhortor","1."
"exigo","3."
"eximo","3."
"exinanio","4."
"existimo","1."
"exorior","4."
"expando","3."
"expavesco","3."
"expedio","4."
"expello","3."
"expergefacio","3. (-io)"
"expeto","3."
"expleo","2."
"explico","1."
"exploro","1."
"expolio","4."
"expono","3."
"exprobro","1."
"expugno","1."
"expurgo","1."
"exquaero","3."
"ex(s)ilio","4."
"ex(s)isto","3."
"ex(s)pecto","1."
"exspecto","1."
"ex(s)piro","1."
"ex(s)puo","3."
"ex(s)tinguo","3."
"ex(s)ulto","1."
"ex(s)upero","1."
"ex(s)urgo","3."
"exsuscito","1."
"extendo","3."
"extergeo","2."
"extergo","3."
"extermino","1."
"exterreo","2."
"extollo","3."
"extraho","3."
"exuo","3."
"fabulor","1."
"facio","3. (-io)"
"faeneror","1."
"fallo","3."
"fascino","1."
"fatigo","1."
"febricito","1."
"fermento","1."
"fero","3."
"ferveo","2."
"fervo","3."
"festino","1."
"fido","3."
"figo","3."
"fingo","3."
"finio","4."
"fio","3."
"firmo","1."
"flagello","1."
"flecto","3."
"fleo","2."
"flo","1."
"fluo","3."
"fodio","3. (-io)"
"foeteo","2."
"formido","1."
"formo","1."
"fornicor","1."
"foveo","2."
"frango","3."
"fraudo","1."
"fremo","3."
"fructifico","1."
"fruor","3."
"fugio","3. (-io)"
"fulgeo","2."
"fumigo","1."
"fundo","1."
"fundo I","3."
"fundo II","1."
"fungor","3."
"furor","1."
"gaudeo","2."
"gemo","3."
"genero","1."
"germino","1."
"gero","3."
"gigno","3."
"glorifico","1."
"glorior","1."
"gluttio","4."
"gratificor","1."
"gravo","1."
"gusto","1."
"habeo","2."
"habito","1."
"haesito","1."
"haurio","4."
"hiemo","1."
"honorifico","1."
"honoro","1."
"hortor","1."
"hospitor","1."
"humilio","1."
"iaceo","2."
"iacio","3. (-io)"
"iacto","1."
"ieiuno","1."
"ignio","4."
"ignoro","1."
"illido","3."
"illucesco","3."
"illudo","3."
"illumino","1."
"imitor","1."
"immineo","2."
"immitto","3."
"immolo","1."
"immuto","1."
"impedio","4."
"impendo","3."
"impero","1."
"impertio","4."
"impingo","3."
"impleo","2."
"impono","3."
"impropero","1."
"imputo","1."
"inambulo","1."
"inauro","1."
"incedo","3."
"incendo","3."
"incido","3."
"incipio","3. (-io)"
"incito","1."
"inclino","1."
"includo","3."
"incrasso","1."
"increpo","1."
"incresco","3."
"incumbo","3."
"incurvo","1."
"indico I","1."
"indico II","3."
"indigeo","2."
"indignor","1."
"induco","3."
"induo","3."
"induro","1."
"inebrio","1."
"ineo","uregelmæssig"
"infero","3."
"infirmo","1."
"inflo","1."
"infringo","3."
"infundo","3."
"ingemesco","3."
"ingemo","3."
"ingravo","1."
"ingredior","3. (-io)"
"inhabito","1."
"inhonoro","1."
"inicio","3. (-io)"
"innotesco","3."
"innuo","3."
"inoperor","1."
"inquam","uregelmæssig"
"inquieto","1."
"inquino","1."
"inquiro","3."
"insanio","4."
"inscribo","3."
"insero I","3."
"insero II","3."
"insidior","1."
"insilio","4."
"insinuo","1."
"insisto","3."
"inspiro","1."
"instauro","1."
"instituo","3."
"insto","1."
"instruo","3."
"insufflo","1."
"insurgo","3."
"intellego","3."
"intendo","3."
"intereo","uregelmæssig"
"interficio","3. (-io)"
"interimo","3."
"interpello","1."
"interpretor","1."
"interrogo","1."
"intersum","uregelmæssig"
"intinguo","3."
"intro","1."
"introduco","3."
"introeo","uregelmæssig"
"introgredior","3. (-io)"
"intueor","2."
"inunguo","3."
"invado","3."
"invalesco","3."
"invenio","4."
"invideo","3."
"invito","1."
"invoco","1."
"involvo","3."
"irascor","3."
"irrideo","3."
"irrito","1."
"irruo","3."
"iubeo","3."
"iucundo","1."
"iudaizo","1."
"iudico","1."
"iungo","3."
"iuro","1."
"iustifico","1."
"justifico","1."
"laboro","1."
"lacrimor","1."
"lacto","1."
"laedo","3."
"laetifico","1."
"laetor","1."
"lamento","1."
"langueo","3."
"languesco","3."
"lapido","1."
"lateo","3."
"laudo","1."
"lavo","3."
"laxo","1."
"lego","3."
"levo","1."
"libero","1."
"licet","2."
"ligo","1."
"lingo","3."
"lino","3."
"litigo","1."
"loco","1."
"locupleto","1."
"loquor","3."
"luceo","3."
"lucesco","3."
"lucror","1."
"ludo","3."
"lugeo","3."
"macto","1."
"maculo","1."
"maereo","3."
"magnifico","1."
"maledico","3."
"mando","1."
"manduco","3."
"maneo","3."
"manico","1."
"manifesto","1."
"medio","1."
"meditor","1."
"memini","3."
"meminisse","3."
"memoro","1."
"mendico","1."
"mentior","4."
"mercor","1."
"mergo","3."
"metior","4."
"meto","3."
"metuo","3."
"migro","1."
"milito","1."
"ministro","1."
"mino","1."
"minoro","1."
"minuo","3."
"miror","1."
"misceo","3."
"misereor","2."
"mitto","3."
"moechor","1."
"molo","3."
"moneo","3."
"monstro","1."
"mordeo","3."
"morior","3. (-io)"
"moror","1."
"mortifico","1."
"moveo","3."
"multiplico","1."
"mundo","1."
"munio","4."
"murmuro","1."
"muto","1."
"mutuor","1."
"narro","1."
"nascor","3."
"nato","1."
"navigo","1."
"neglego","3."
"nego","1."
"negotior","1."
"neo","3."
"nescio","4."
"noceo","3."
"nolo","uregelmæssig"
"nomino","1."
"nosco","3."
"noto","1."
"nubo","3."
"nudo","1."
"numero","1."
"nuntio","1."
"nutrio","4."
"obdormio","4."
"obeo","uregelmæssig"
"obicio","3. (-io)"
"obliviscor","3."
"obmutesco","3."
"oboedio","4."
"obscuro","1."
"obsecro","1."
"observo","1."
"obstipesco","3."
"obstruo","3."
"obstupesco","3."
"obtineo","2."
"obtundo","3."
"obumbro","1."
"obvio","1."
"occaeco","1."
"occido I","3."
"occido II","3."
"occulto","1."
"occupo","1."
"occurro","3."
"odi","4."
"odio","4."
"offendo","3."
"offero","3."
"offoco","1."
"omitto","3."
"onero","1."
"operio","4."
"operor","1."
"oportet","2."
"opprimo","3."
"opto","1."
"ordino","1."
"orior","4."
"orno","1."
"oro","1."
"osculor","1."
"ostendo","3."
"pacificor","1."
"paciscor","3."
"paeniteo","2."
"palpo","1."
"parco","3."
"pareo","2."
"pario","3. (-io)"
"paro","1."
"participo","1."
"partior","3. (-io)"
"parturio","4."
"pasco","3."
"pascor","3."
"pastino","1."
"patefacio","3. (-io)"
"pateo","2."
"patior","3. (-io)"
"paveo","2."
"pecco","1."
"peiero","1."
"pendeo","2."
"pendo","3."
"perago","3."
"peragro","1."
"perambulo","1."
"percipio","3. (-io)"
"percurro","3."
"percutio","3. (-io)"
"perdo","3."
"perduco","3."
"perduro","1."
"peregrinor","1."
"pereo","uregelmæssig"
"perfero","3."
"perficio","3. (-io)"
"perfodio","3. (-io)"
"pergo","3."
"perhibeo","2."
"periclitor","1."
"permaneo","2."
"permitto","3."
"permundo","1."
"pernocto","1."
"perpetior","3. (-io)"
"persequor","3."
"persevero","1."
"perspicio","3. (-io)"
"persuadeo","2."
"pertineo","2."
"pertingo","3."
"pertranseo","2."
"pervenio","4."
"perverto","3."
"peto","3."
"pigritor","1."
"piscor","3."
"placeo","2."
"plango","3."
"planto","1."
"plecto","3."
"plico","1."
"ploro","1."
"pluo","3."
"polliceor","2."
"polluo","3."
"pono","3."
"porrigo","3."
"porto","1."
"posco","3."
"possideo","2."
"possido","3."
"possum","uregelmæssig"
"postulo","1."
"potiono","1."
"poto","1."
"praebeo","2."
"praecedo","3."
"praecello","3."
"praecingo","3."
"praecipio","3. (-io)"
"praecipito","1."
"praecogito","1."
"praecurro","3."
"praedestino","1."
"praedico I","1."
"praedico II","3."
"praeeo","uregelmæssig"
"praefinio","4."
"praegredior","3. (-io)"
"praemeditor","1."
"praemitto","3."
"praemoneo","2."
"praenuntio","1."
"praeordino","1."
"praeparo","1."
"praescio","4."
"praescribo","3."
"praesto","1."
"praesum","uregelmæssig"
"praesumo","3."
"praetereo","uregelmæssig"
"praetergredior","3. (-io)"
"praevaleo","2."
"praevaricor","1."
"praevenio","4."
"prandeo","2."
"precor","1."
"pr(eh)endo","3."
"premo","3."
"principor","1."
"probo","1."
"procedo","3."
"procido","3."
"procumbo","3."
"procuro","1."
"procurro","3."
"prodeo","2."
"prodo","3."
"produco","3."
"proelior","1."
"profero","3."
"proficio","3. (-io)"
"proficiscor","3."
"profiteor","2."
"profugio","3. (-io)"
"progredior","3. (-io)"
"prohibeo","2."
"proicio","3. (-io)"
"promitto","3."
"pronuntio","1."
"propello","3."
"propero","1."
"prophetizo","1."
"propheto","1."
"propono","3."
"proscribo","3."
"prospicio","3. (-io)"
"prosterno","3."
"prosum","uregelmæssig"
"protestor","1."
"protraho","3."
"provideo","2."
"provoco","1."
"provolvo","3."
"prurio","4."
"psallo","3."
"pugno","1."
"pulso","1."
"pungo","3."
"punio","4."
"purgo","1."
"purifico","1."
"puto","1."
"quaero","3."
"quasso","1."
"queror","3."
"quiesco","3."
"radico","1."
"rado","3."
"rapio","3. (-io)"
"recedo","3."
"recipio","3. (-io)"
"reclino","1."
"reconcilio","1."
"recondo","3."
"recordor","1."
"recumbo","3."
"recuso","1."
"redaedifico","1."
"redarguo","3."
"reddo","3."
"redeo","2."
"redigo","3."
"redimo","3."
"reduco","3."
"reemo","3."
"refero","3."
"reficio","3. (-io)"
"refloresco","3."
"reformo","1."
"refrigero","1."
"refrigesco","3."
"refulgeo","2."
"regno","1."
"rego","3."
"regredior","3. (-io)"
"reicio","3. (-io)"
"reinvito","1."
"relinquo","3."
"remaneo","2."
"remetior","4."
"remigo","1."
"reminisco","3."
"reminiscor","3."
"remitto","3."
"reno","1."
"renovo","1."
"renuntio","1."
"repello","3."
"repeto","3."
"repleo","2."
"repono","3."
"repr(eh)endo","3."
"reprobo","1."
"repromitto","3."
"repugno","1."
"reputo","1."
"requaero","3."
"requiesco","3."
"requiro","3."
"rescindo","3."
"rescio","4."
"reservo","1."
"resideo","2."
"resisto","1."
"respicio","3. (-io)"
"resplendeo","2."
"respondeo","2."
"restituo","3."
"resto","1."
"resurgo","3."
"resuscito","1."
"retineo","2."
"retribuo","3."
"revelo","1."
"revereor","2."
"revertor","3."
"revinco","3."
"revivo","3."
"revoco","1."
"revolvo","3."
"rideo","2."
"rigo","1."
"rogo","1."
"rugio","4."
"rumpo","3."
"rutilo","1."
"sacrifico","1."
"saepelio","4."
"sagino","1."
"salio","4."
"sal(l)io","4."
"salto","1."
"saluto","1."
"salvifico","1."
"salvo","1."
"sanctifico","1."
"sano","1."
"sapio","3. (-io)"
"satago","3."
"satio","1."
"satisfacio","3. (-io)"
"saturo","1."
"scandalizo","1."
"scindo","3."
"scio","4."
"sciscitor","1."
"scribo","3."
"scrutor","1."
"secedo","3."
"secto","1."
"sector","1."
"sedeo","2."
"sedo","1."
"seduco","3."
"segrego","1."
"semino","1."
"senesco","3."
"sentio","4."
"separo","1."
"sepelio","4."
"sequor","3."
"sero","3."
"serpo","3."
"servio","4."
"servo","1."
"sicco","1."
"significo","1."
"signo","1."
"sileo","2."
"simulo","1."
"sino","3."
"sisto","3."
"sitio","4."
"soleo","2."
"sollicito","1."
"solvo","3."
"somnio","1."
"sono","1."
"sordesco","3."
"sortior","4."
"spargo","3."
"speculor","1."
"sperno","3."
"spero","1."
"spiro","1."
"splendeo","2."
"splendesco","3."
"spondeo","2."
"spumo","1."
"statuo","3."
"sterno","3."
"sto","1."
"strideo","2."
"stringo","3."
"studeo","2."
"stupefacio","3. (-io)"
"stupeo","2."
"suadeo","2."
"subdo","3."
"subduco","3."
"subeo","uregelmæssig"
"subicio","3. (-io)"
"subintro","1."
"subintroduco","3."
"subintroeo","uregelmæssig"
"sublevo","1."
"subministro","1."
"submitto","3."
"subnavigo","1."
"subsequor","3."
"substerno","3."
"subterfugio","3. (-io)"
"subtraho","3."
"subverto","3."
"succendo","3."
"succido","3."
"succingo","3."
"succlamo","1."
"suffero","3."
"sufficio","3. (-io)"
"suffoco","1."
"suffodio","3. (-io)"
"suggero","3."
"suggillo","1."
"sugo","3."
"sum","uregelmæssig"
"sumo","3."
"superabundo","1."
"superaedifico","1."
"supercerto","1."
"supercresco","3."
"supereffluo","3."
"superemineo","2."
"supererogo","1."
"superextendo","3."
"supergredior","3. (-io)"
"superimpendo","3."
"superinduo","3."
"superlucror","1."
"supero","1."
"superordino","1."
"superpono","3."
"supersemino","1."
"supersum","uregelmæssig"
"supervenio","4."
"supervestio","4."
"suppleo","2."
"suppono","3."
"supporto","1."
"surgo","3."
"suscipio","3. (-io)"
"suscito","1."
"suspendo","3."
"suspicio","3. (-io)"
"suspicor","1."
"sustineo","2."
"taceo","2."
"taedet","2."
"tango","3."
"tardo","1."
"tego","3."
"tempero","1."
"tempto","1."
"tendo","3."
"teneo","2."
"tergeo","2."
"terreo","2."
"testificor","1."
"testor","1."
"thesaurizo","1."
"timeo","2."
"tinnio","4."
"tollo","3."
"tondeo","2."
"torqueo","2."
"tracto","1."
"trado","3."
"traduco","3."
"traho","3."
"transcendo","3."
"transeo","uregelmæssig"
"transfero","3."
"transfigo","3."
"transfiguro","1."
"transformo","1."
"transfreto","1."
"transgredior","3. (-io)"
"transigo","3."
"transmeo","2."
"transnavigo","1."
"transplanto","1."
"transpono","3."
"tremefacio","3. (-io)"
"tremo","3."
"tribulo","1."
"tribuo","3."
"trituro","1."
"triumpho","1."
"tumultuor","1."
"turbo","1."
"ulciscor","3."
"ung(u)o","3."
"urgeo","2."
"uro","3."
"utor","3."
"vaco","1."
"vado","3."
"valedico","3."
"valefacio","3. (-io)"
"valeo","2."
"vapulo","1."
"vello","3."
"velo","1."
"vendo","3."
"veneo","uregelmæssig"
"venio","4."
"verbero","1."
"vereor","2."
"verto","3."
"vestio","4."
"veteresco","3."
"veto","1."
"vexo","1."
"video","2."
"vigilo","1."
"vilico","1."
"vincio","4."
"vinco","3."
"vindemio","1."
"vindico","1."
"violo","1."
"visito","1."
"viso","3."
"vitupero","1."
"vivifico","1."
"vivo","3."
"vociferor","1."
"voco","1."
"volo I","uregelmæssig"
"volo II","1."
"voluto","1."
"volvo","3."
"vulnero","1."
"zelo","1."
